iter	Passed	Remaining
1452	8985	3382
1453	8989	3375
1454	8995	3369
1455	9000	3362
1456	9006	3356
1457	9011	3350
1458	9017	3343
1459	9023	3337
1460	9028	3330
1461	9033	3324
1462	9038	3317
1463	9043	3311
1464	9049	3304
1465	9054	3298
1466	9059	3291
1467	9065	3285
1468	9070	3278
1469	9075	3272
1470	9081	3265
1471	9086	3259
1472	9092	3252
1473	9097	3246
1474	9102	3240
1475	9108	3233
1476	9113	3227
1477	9118	3220
1478	9124	3214
1479	9129	3207
1480	9134	3201
1481	9140	3194
1482	9145	3188
1483	9151	3181
1484	9156	3175
1485	9161	3168
1486	9166	3162
1487	9171	3155
1488	9175	3148
1489	9180	3142
1490	9185	3135
1491	9191	3129
1492	9196	3123
1493	9202	3116
1494	9207	3110
1495	9212	3103
1496	9217	3097
1497	9222	3090
1498	9228	3084
1499	9233	3077
1500	9239	3071
1501	9244	3065
1502	9251	3059
1503	9256	3052
1504	9262	3046
1505	9268	3040
1506	9273	3033
1507	9279	3027
1508	9284	3020
1509	9289	3014
1510	9295	3008
1511	9300	3001
1512	9305	2995
1513	9311	2988
1514	9316	2982
1515	9321	2976
1516	9327	2969
1517	9332	2963
1518	9338	2956
1519	9343	2950
1520	9348	2944
1521	9354	2937
1522	9359	2931
1523	9365	2925
1524	9371	2918
1525	9377	2912
1526	9382	2906
1527	9388	2900
1528	9393	2893
1529	9399	2887
1530	9404	2880
1531	9410	2874
1532	9416	2868
1533	9421	2862
1534	9426	2855
1535	9432	2849
1536	9438	2843
1537	9443	2836
1538	9448	2830
1539	9453	2823
1540	9458	2817
1541	9463	2810
1542	9468	2804
1543	9472	2797
1544	9477	2791
1545	9483	2784
1546	9488	2778
1547	9494	2772
1548	9499	2765
1549	9504	2759
1550	9509	2752
1551	9514	2746
1552	9520	2740
1553	9525	2733
1554	9530	2727
1555	9535	2721
1556	9541	2714
1557	9546	2708
1558	9551	2701
1559	9556	2695
1560	9561	2689
1561	9567	2682
1562	9573	2676
1563	9579	2670
1564	9584	2664
1565	9590	2657
1566	9596	2651
1567	9602	2645
1568	9607	2639
1569	9612	2632
1570	9617	2626
1571	9623	2620
1572	9629	2613
1573	9634	2607
1574	9640	2601
1575	9645	2595
1576	9651	2588
1577	9656	2582
1578	9661	2576
1579	9667	2569
1580	9672	2563
1581	9677	2557
1582	9683	2550
1583	9689	2544
1584	9694	2538
1585	9700	2532
1586	9706	2525
1587	9711	2519
1588	9717	2513
1589	9722	2507
1590	9728	2500
1591	9734	2494
1592	9740	2488
1593	9745	2482
1594	9751	2476
1595	9756	2469
1596	9762	2463
1597	9767	2457
1598	9773	2450
1599	9779	2444
1600	9785	2438
1601	9791	2432
1602	9797	2426
1603	9803	2420
1604	9808	2414
1605	9814	2407
1606	9821	2401
1607	9827	2395
1608	9833	2389
1609	9839	2383
1610	9845	2377
1611	9851	2371
1612	9857	2364
1613	9862	2358
1614	9867	2352
1615	9872	2345
1616	9877	2339
1617	9882	2333
1618	9887	2326
1619	9893	2320
1620	9899	2314
1621	9905	2308
1622	9911	2302
1623	9916	2296
1624	9922	2289
1625	9928	2283
1626	9934	2277
1627	9941	2271
1628	9946	2265
1629	9952	2259
1630	9957	2252
1631	9962	2246
1632	9968	2240
1633	9973	2233
1634	9978	2227
1635	9984	2221
1636	9990	2215
1637	9995	2209
1638	10001	2202
1639	10007	2196
1640	10013	2190
1641	10018	2184
1642	10024	2178
1643	10029	2171
1644	10036	2165
1645	10041	2159
1646	10047	2153
1647	10052	2147
1648	10058	2140
1649	10063	2134
1650	10069	2128
1651	10074	2122
1652	10080	2116
1653	10086	2110
1654	10092	2103
1655	10099	2097
1656	10105	2091
1657	10111	2085
1658	10117	2079
1659	10122	2073
1660	10127	2067
1661	10133	2060
1662	10138	2054
1663	10144	2048
1664	10150	2042
1665	10155	2036
1666	10161	2029
1667	10167	2023
1668	10172	2017
1669	10178	2011
1670	10183	2005
1671	10189	1998
1672	10194	1992
1673	10200	1986
1674	10205	1980
1675	10212	1974
1676	10217	1968
